# mask_cen mask_weight
6.467589999255073963e+02 9.944285551107641119e-01
6.468013999254967530e+02 9.938812444927692669e-01
6.468173999254927367e+02 9.943141992859027001e-01
6.468764999254779013e+02 9.935960909442590472e-01
6.469180999254674589e+02 9.966053996294642614e-01
6.469540999254584221e+02 9.932420810680259171e-01
6.469721999254538787e+02 9.893338003446217055e-01
6.469831999254511175e+02 9.939613391816063404e-01
6.470269999254401228e+02 9.942721542350976272e-01
6.470548999254331193e+02 9.926939924772121282e-01
6.470651999254305338e+02 9.940737124406126002e-01
6.470794999254269442e+02 9.928175381899941865e-01
6.470949999254230534e+02 9.942249801991644986e-01
6.471137999254183342e+02 9.933325760421651829e-01
6.471310999254139915e+02 9.942107512735423036e-01
6.471518999254087703e+02 9.939266737222529624e-01
6.471797999254017668e+02 9.935640082597201328e-01
6.472122999253936086e+02 9.926434950265885515e-01
6.472375999253872578e+02 9.943337244286697407e-01
6.472484999253845217e+02 9.935883563805917307e-01
6.472675999253797272e+02 9.942523279798846092e-01
6.472828999253758866e+02 9.877936334606221003e-01
6.472973999253722468e+02 9.931982041961014973e-01
6.473467999253598464e+02 9.943348060224799223e-01
6.474183999253418733e+02 9.937545844736734857e-01
6.474329999253382084e+02 9.875417720615670136e-01
6.474441999253353970e+02 9.944505047575032952e-01
6.474988999253216662e+02 9.941646244313616654e-01
6.475419999253108472e+02 9.934147170238126767e-01
6.475534999253079604e+02 9.911441388042221412e-01
6.475746999253026388e+02 9.942163217134585285e-01
6.476008999252960621e+02 9.929487102406487908e-01
6.476229999252905145e+02 9.943855929742393407e-01
6.476414999252858706e+02 9.886134317927411930e-01
6.476936999252727674e+02 9.940818011946535027e-01
6.477089999252689267e+02 9.934887478742994160e-01
6.477250999252648853e+02 9.917916192146055687e-01
6.477494999252587604e+02 9.933699158192252909e-01
6.477644999252549951e+02 9.624054000101492923e-01
6.478054999252447033e+02 9.942531392992222106e-01
6.478255999252396578e+02 9.882016385658823898e-01
6.478374999252366706e+02 9.843162162864561582e-01
6.478517999252330810e+02 9.828342267328987747e-01
6.478599999252310226e+02 9.940035608634915087e-01
6.478957999252220361e+02 9.868975441856714381e-01
6.479132999252176432e+02 9.851823519855167355e-01
6.479402999252108657e+02 9.941344930858450057e-01
6.479903999251982896e+02 9.940369549780528891e-01
6.480121999251928173e+02 9.930882149110971113e-01
6.480222999251902820e+02 9.892893740060981767e-01
